# idx t phi1 phi3 phi4
367 0.000042304688 101.389091250240 100.838215255850 0.838215255850
368 0.000042329688 102.252258599733 101.666862926056 1.666862926056
369 0.000042379688 103.944399858980 103.308330880775 3.308330880775
370 0.000042479688 107.189845588679 106.473025201570 6.473025201570
371 0.000042579688 110.294655351813 109.507156322758 9.507156322758
372 0.000042679688 113.257230847372 112.404859995646 12.404859995646
373 0.000042779688 116.076144971861 115.163382605369 15.163382605369
374 0.000042879688 118.750133976126 117.780881230157 17.780881230157
375 0.000042979688 121.278094183960 120.255951454990 20.255951454990
376 0.000043079688 123.659080084421 122.587474183710 22.587474183710
377 0.000043179688 125.892302899810 124.774552400927 24.774552400927
378 0.000043279688 127.977129300102 126.816480980705 26.816480980705
379 0.000043379688 129.913080126559 128.712730351488 28.712730351488
380 0.000043479688 131.699829060500 130.462936697109 30.462936697109
381 0.000043579688 133.337201205345 132.066895486136 32.066895486136
382 0.000043679688 134.825171565573 133.524556791178 33.524556791178
383 0.000043779688 136.163863414245 134.836021605477 34.836021605477
384 0.000043879688 137.353546545186 136.001538724036 36.001538724036
385 0.000043979688 138.394635408542 137.021501941683 37.021501941683
386 0.000044079688 139.287687129975 137.896447420958 37.896447420958
387 0.000044179688 140.033399414805 138.627051139771 38.627051139771
388 0.000044279688 140.632608339069 139.214126362497 39.214126362497
389 0.000044379688 141.086286029940 139.658621098803 39.658621098803
390 0.000044479688 141.395538238285 139.961615527574 39.961615527574
391 0.000044579688 141.561601806381 140.124319371811 40.124319371810
392 0.000044679688 141.585842034000 140.148069216125 40.148069216125
393 0.000044779688 141.469749946209 140.034325762484 40.034325762484
394 0.000044879688 141.214939466348 139.784671022828 39.784671022828
395 0.000044979688 140.823144497723 139.400805449495 39.400805449495
396 0.000045079688 140.296215917612 138.884545006400 38.884545006400
397 0.000045179688 139.636118487219 138.237818185797 38.237818185797
398 0.000045279688 138.844927681228 137.462662977494 37.462662977494
399 0.000045379688 137.924826440573 136.561223799805 36.561223799805
400 0.000045479688 136.878101852018 135.535748404622 35.535748404622
401 0.000045579688 135.707141758018 134.388584773351 34.388584773351
402 0.000045679688 134.414431300185 133.122178026646 33.122178026646
403 0.000045779688 133.002549399416 131.739067380279 31.739067380279
404 0.000045879688 131.474165175333 130.241883194093 30.241883194093
405 0.000045979688 129.832034307041 128.633344184333 28.633344184333
406 0.000046079688 128.078995336170 126.916254908561 26.916254908561
407 0.000046179688 126.217965911483 125.093503699140 25.093503699140
408 0.000046279688 124.251938971402 123.168061341308 23.168061341308
409 0.000046379688 122.183978855702 121.142981017613 21.142981017613
410 0.000046479688 120.017217327947 119.021400490397 19.021400490397
411 0.000046679688 115.314505032955 114.417961457887 14.417961457887
412 0.000046879688 110.269424555675 109.482485661124 9.482485661124
413 0.000047079688 104.909395714794 104.248024698194 4.248024698194
414 0.000047179688 102.153987724342 101.571982927018 1.571982927018
415 0.000047229688 100.757705115458 100.249820402698 0.249820402698
416 0.000047254688 100.054017784113 99.966880719381 -0.033119280619
417 0.000047279688 99.344177532409 99.944444424727 -0.055555575273
418 0.000047304688 98.628180038024 99.941636995940 -0.058363004060
419 0.000047354688 97.171904822711 99.939087063643 -0.060912936357
420 0.000047454688 94.165238037279 99.934198740407 -0.065801259593
421 0.000047654688 87.800898142983 99.924335283472 -0.075664716528
422 0.000047854688 81.112307426964 99.914414884158 -0.085585115842
423 0.000048054688 74.127405841528 99.904477186770 -0.095522813230
424 0.000048254688 66.875201755937 99.894561843323 -0.105438156677
425 0.000048454688 59.385652133497 99.884708259045 -0.115291740955
426 0.000048654688 51.689539409890 99.874955435431 -0.125044564569
427 0.000048854688 43.818345576356 99.865341816501 -0.134658183499
428 0.000049054688 35.804123980472 99.855905137903 -0.144094862097
429 0.000049254688 27.679369364301 99.846682279434 -0.153317720566
430 0.000049454688 19.476886664628 99.837709121574 -0.162290878426
431 0.000049854688 3.024201273920 99.821028396057 -0.178971603943
432 0.000050254688 -13.216414584071 99.805855911766 -0.194144088234
433 0.000050454688 -21.251572613138 99.798675437982 -0.201324562018
434 0.000050654688 -29.169916023540 99.791927709440 -0.208072290560
435 0.000050854688 -36.940372148586 99.785637871321 -0.214362128679
436 0.000051054688 -44.532581772003 99.779829144282 -0.220170855718
437 0.000051254688 -51.917017198533 99.774522739669 -0.225477260331
438 0.000051454688 -59.065096539772 99.769737783066 -0.230262216934
439 0.000051654688 -65.949293775179 99.765491246473 -0.234508753527
440 0.000051854688 -72.543244166775 99.761797889313 -0.238202110687
441 0.000052054688 -78.821844626251 99.758670208511 -0.241329791489
442 0.000052254688 -84.761348654891 99.756118397763 -0.243881602237
443 0.000052454688 -90.339455499901 99.754150316160 -0.245849683840
444 0.000052654688 -95.535393195130 99.752771466226 -0.247228533774
